
running 5676 tests
test agent::subagent::tests::record_pre_spawn_failure_skips_buffer_when_flag_false ... ok
test agent::subagent::tests::remove_pending_clears_entry ... ok
test agent::subagent::tests::resolve_running_list_populates_fields_from_signals ... ok
test agent::subagent::tests::resolve_running_list_returns_empty_for_empty_seeds ... ok
test agent::subagent::tests::resolve_snapshot_populates_running_from_signals ... ok
test agent::subagent::tests::resolve_snapshot_returns_none_for_none_input ... ok
test agent::subagent::tests::resolve_snapshot_returns_ready_unchanged ... ok
test agent::subagent::tests::no_parent_lsp_means_child_gets_none ... ok
test agent::subagent::tests::rest::backward_compat_meta_without_resumed_from ... ok
test agent::subagent::tests::rest::backward_compat_meta_without_snapshot_ref ... ok
test agent::subagent::tests::rest::cached_prompt_text_is_task_not_background ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::empty_context_falls_back ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::hook_denied_with_context ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::hook_denied_without_context ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::mid_turn_abort ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::no_category_no_context ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::partial_context_only_tool_name ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::permission_cancelled ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::permission_rejected_with_context ... ok
test agent::subagent::tests::rest::cancellation_error_message_tests::permission_rejected_without_context ... ok
test agent::subagent::tests::rest::compaction_no_prefix_passes_through ... ok
test agent::subagent::tests::rest::compaction_preserves_inherited_prefix ... ok
test agent::subagent::tests::rest::completed_subagent_propagates_resumed_from ... ok
test agent::subagent::tests::rest::completion_gate_off_preserves_and_records_no_ref ... ok
test agent::subagent::tests::rest::completion_notify_fires_on_move_to_completed ... ok
test agent::subagent::tests::rest::background_children_do_not_gate_the_drain ... ok
test agent::subagent::tests::rest::completions_buffered_while_turn_inactive_drained_later ... ok
test agent::relay::tests::test_ws_session_inbound_traffic_resets_liveness_window ... ok
test agent::subagent::tests::rest::drain_pending_completions_cancelled_is_not_success ... ok
test agent::subagent::tests::rest::drain_pending_completions_returns_and_clears ... ok
test agent::subagent::tests::rest::durable_fallback_rejects_running_status ... ok
test agent::subagent::tests::rest::durable_fallback_roundtrips_child_cwd_and_worktree ... ok
test agent::subagent::tests::rest::durable_meta_roundtrips_effective_model_id ... ok
test agent::subagent::tests::rest::end_to_end_normalized_conversation_shape ... ok
test agent::subagent::tests::rest::filter_inheritance_all_passes_everything_through ... ok
test agent::subagent::tests::rest::filter_inheritance_except_all_servers_gives_empty ... ok
test agent::subagent::tests::rest::filter_inheritance_except_empty_list_keeps_all ... ok
test agent::subagent::tests::rest::filter_inheritance_except_excludes_specific_servers ... ok
test agent::subagent::tests::rest::filter_inheritance_except_nonexistent_servers_ignored ... ok
test agent::subagent::tests::rest::filter_inheritance_named_all_nonexistent_gives_empty ... ok
test agent::subagent::tests::rest::filter_inheritance_named_empty_list_gives_empty_pool ... ok
test agent::subagent::tests::rest::filter_inheritance_named_nonexistent_servers_ignored ... ok
test agent::subagent::tests::rest::filter_inheritance_named_selects_specific_servers ... ok
test agent::subagent::tests::rest::filter_inheritance_none_returns_none ... ok
test agent::subagent::tests::rest::fork_context_pins_parent_model_over_overrides ... ok
test agent::subagent::tests::rest::gate_on_completion_clears_model_facing_worktree_path_but_resume_retains_it ... ok
test agent::subagent::tests::rest::gate_on_completion_retains_worktree_path_when_not_removed ... ok
test agent::subagent::tests::rest::goal_tick_cmd_tx_gates_on_goal_enabled ... ok
test agent::subagent::tests::rest::initial_context_source_resumed_variant ... ok
test agent::subagent::tests::rest::key_prefix_empty_string ... ok
test agent::subagent::tests::rest::key_prefix_none_returns_placeholder ... ok
test agent::subagent::tests::rest::key_prefix_short_key_not_truncated ... ok
test agent::subagent::tests::rest::key_prefix_truncates_to_8_chars ... ok
test agent::subagent::tests::rest::last_user_message_is_task_after_normalization ... ok
test agent::subagent::tests::rest::non_cursor_persona_injected_as_system_reminder ... ok
test agent::subagent::tests::rest::normalize_forked_context_consecutive_users ... ok
test agent::subagent::tests::rest::normalize_forked_context_strips_project_layout ... ok
test agent::subagent::tests::rest::notification_subagent_spawned_includes_resumed_from ... ok
test agent::subagent::tests::rest::outstanding_for_prompt_excludes_completed ... ok
test agent::subagent::tests::rest::outstanding_for_prompt_includes_pending_and_active ... ok
test agent::subagent::tests::rest::outstanding_for_prompt_returns_empty_for_unknown_prompt ... ok
test agent::subagent::tests::rest::outstanding_for_prompt_returns_sorted_ids ... ok
test agent::subagent::tests::rest::persona_injection_into_empty_conversation ... ok
test agent::subagent::tests::rest::persona_injection_skipped_for_resumed ... ok
test agent::subagent::tests::rest::progress_publisher_delivers_ticks_to_parent_cmd_channel ... ok
test agent::subagent::tests::rest::provenance_carries_resumed_from ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_fallback_resolves_backend_search_from_catalog ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_fallback_resolves_compactions_remaining_from_catalog ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_fallback_uses_session_model_id ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_ignores_global_default ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_keeps_auto_catalog_id_with_routing_slug ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_keeps_auto_when_catalog_has_slug_key_only ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_resolves_backend_search_from_catalog ... ok
test agent::subagent::tests::rest::read_parent_sampling_config_resolves_compactions_remaining_from_catalog ... ok
test agent::subagent::tests::rest::reconcile_dedups_orphan_present_in_both_sources ... ok
test agent::subagent::tests::rest::reconcile_orphan_flips_running_meta_to_cancelled ... ok
test agent::subagent::tests::rest::reconcile_orphan_idempotent_on_terminal_meta ... ok
test agent::subagent::tests::rest::reconcile_orphan_ignores_other_parent_session ... ok
test agent::subagent::tests::rest::reconcile_orphan_noop_on_missing_subagents_dir ... ok
test agent::subagent::tests::rest::reconcile_orphan_persists_subagent_finished_via_cmd_tx ... ok
test agent::subagent::tests::rest::reconcile_orphan_skips_ids_in_live_registry ... ok
test agent::subagent::tests::rest::reconcile_orphan_skips_malformed_meta ... ok
test agent::subagent::tests::rest::reconcile_orphan_skips_pending_ids_in_live_registry ... ok
test agent::subagent::tests::rest::completion_snapshot_sequence_persists_ref_then_removes_worktree ... ok
test agent::subagent::tests::rest::reconcile_reemits_real_outcome_for_completed_with_running_meta ... ok
test agent::subagent::tests::rest::reconcile_replayed_orphan_emits_finish_for_inherited_orphan ... ok
test agent::subagent::tests::rest::reconcile_reemits_rewound_finish_even_when_id_still_in_completed_registry ... ok
test agent::subagent::tests::rest::resolve_child_cwd_empty_override_falls_back_to_parent ... ok
test agent::subagent::tests::rest::resolve_child_cwd_falls_back_to_parent_when_no_overrides ... ok
test agent::subagent::tests::rest::resolve_child_cwd_uses_override_when_no_worktree ... ok
test agent::subagent::tests::rest::reconcile_replayed_orphan_uses_real_terminal_status_from_meta ... ok
test agent::subagent::tests::rest::resolve_child_cwd_worktree_takes_precedence_over_override ... ok
test agent::subagent::tests::rest::resolve_subagent_agent_definition_unknown_model_falls_through_to_inherit ... ok
test agent::subagent::tests::rest::resolve_subagent_agent_definition_pin_applies_for_light_parent ... ok
test agent::subagent::tests::rest::disposal_completes_before_subagent_is_observable ... ok
test agent::subagent::tests::rest::resolve_subagent_config_override_pin_applies_for_any_parent ... ok
test agent::subagent::tests::rest::resolve_subagent_config_override_unknown_model_falls_through_to_inherit ... ok
test agent::subagent::tests::rest::resumable_source_rejects_cross_session_lookup ... ok
test agent::subagent::tests::rest::resumable_source_returns_info_for_completed_subagent ... ok
test agent::subagent::tests::rest::resumable_source_returns_none_for_active_subagent ... ok
test agent::subagent::tests::rest::resumable_source_returns_none_for_unknown_id ... ok
test agent::subagent::tests::rest::resumable_source_survives_move_to_completed_with_metadata ... ok
test agent::subagent::tests::rest::resume_allows_matching_identity ... ok
test agent::subagent::tests::rest::resume_identity_does_not_gate_on_model ... ok
test agent::subagent::tests::rest::resume_inherited_cwd_requires_existing_non_worktree_dir ... ok
test agent::subagent::tests::rest::resume_initial_context_preserves_head_only ... ok
test agent::subagent::tests::rest::resume_model_pinning_overrides_default_resolution ... ok
test agent::subagent::tests::rest::resume_prefix_len_counts_consecutive_system_head ... ok
test agent::subagent::tests::rest::resume_prefix_len_is_system_head_only ... ok
test agent::subagent::tests::rest::resume_prefix_len_is_zero_without_system_head ... ok
test agent::subagent::tests::rest::resume_rejects_conflicting_persona ... ok
test agent::subagent::tests::rest::resume_rejects_conflicting_subagent_type ... ok
test agent::subagent::tests::rest::resume_source_worktree_reuse ... ok
test agent::subagent::tests::rest::resume_window_safety_rejects_instead_of_swapping ... ok
test agent::subagent::tests::rest::resolve_subagent_config_override_wins_over_agent_definition ... ok
test agent::subagent::tests::rest::resumed_from_field_in_meta_roundtrips ... ok
test agent::subagent::tests::rest::resumed_from_none_not_serialized_in_meta ... ok
test agent::subagent::tests::rest::resumed_session_uses_current_runtime_contract ... ok
test agent::subagent::tests::rest::select_override_cwd_fresh_spawn_uses_request_cwd ... ok
test agent::subagent::tests::rest::select_override_cwd_resume_never_falls_through_to_request_cwd ... ok
test agent::subagent::tests::rest::session_metadata_session_kind_for_resumed ... ok
test agent::subagent::tests::rest::set_completed_snapshot_ref_unknown_id_is_noop ... ok
test agent::subagent::tests::rest::resolve_subagent_inherits_parent_model_without_pins ... ok
test agent::subagent::tests::rest::skills_inherited_count_matches_parent_skills_len ... ok
test agent::subagent::tests::rest::skills_inherited_count_zero_when_inherit_disabled ... ok
test agent::subagent::tests::rest::snapshot_ref_field_in_meta_roundtrips ... ok
test agent::subagent::tests::rest::snapshot_ref_write_promotes_nonterminal_status_to_terminal ... ok
test agent::subagent::tests::rest::subagent_session_metadata_backward_compat_deserialization ... ok
test agent::subagent::tests::rest::subagent_session_metadata_non_forked ... ok
test agent::subagent::tests::rest::subagent_session_metadata_roundtrip ... ok
test agent::subagent::tests::rest::runtime_override_wins_over_subagents_models_pin_in_precedence_path ... ok
test agent::subagent::tests::rest::subagent_tool_params_carry_ask_user_question_timeouts ... ok
test agent::subagent::tests::rest::subagent_worktree_snapshot_gate_defaults_off ... ok
test agent::subagent::tests::rest::set_completed_snapshot_ref_updates_in_memory_entry ... ok
test agent::subagent::tests::rest::subagent_worktree_snapshot_gate_local_enables ... ok
test agent::subagent::tests::rest::subagent_worktree_snapshot_gate_local_overrides_remote ... ok
test agent::subagent::tests::rest::token_estimation_accounts_for_images ... ok
test agent::subagent::tests::rest::token_estimation_for_window_safety ... ok
test agent::subagent::tests::rest::turn_active_flag_defaults_to_false ... ok
test agent::subagent::tests::rest::turn_active_flag_shared_via_arc ... ok
test agent::subagent::tests::rest::update_subagent_meta_snapshot_ref_persists_to_disk ... ok
test agent::subagent::tests::rest::update_subagent_meta_snapshot_ref_reports_failure_when_meta_missing ... ok
test agent::subagent::tests::rest::upload_lifecycle_failure_preserves_error ... ok
test agent::subagent::tests::rest::upload_lifecycle_spawn_then_completion_preserves_fields ... ok
test agent::subagent::tests::rest::upload_ref_includes_resumed_from ... ok
test agent::subagent::tests::resume_vs_fork_helper_shapes_differ ... ok
test agent::subagent::tests::resume_worktree_action_covers_three_outcomes ... ok
test agent::subagent::tests::resumed_tool_model_override_is_ignored ... ok
test agent::subagent::tests::role_default_used_when_no_explicit_override ... ok
test agent::subagent::tests::rest::subagent_worktree_snapshot_gate_remote_enables ... ok
test agent::subagent::tests::should_auto_wake_subagent_refuses_cancelled_results ... ok
test agent::subagent::tests::should_auto_wake_subagent_requires_background_and_enabled ... ok
test agent::subagent::tests::should_auto_wake_subagent_requires_open_parent_channel ... ok
test agent::subagent::tests::should_auto_wake_subagent_suppressed_by_block_waited_or_killed ... ok
test agent::subagent::tests::should_auto_wake_subagent_suppressed_by_goal_loop ... ok
test agent::subagent::tests::subagent_auth_type_rule ... ok
test agent::subagent::tests::rest::subagent_usage_not_applied_sticky_after_completion_and_is_prompt_scoped ... ok
test agent::subagent::tests::subagent_bypass_permission_mode_gated_by_policy_pin ... ok
test agent::subagent::tests::subagent_inherits_managed_mcp_state_via_context ... ok
test agent::subagent::tests::subagent_inherits_parent_lsp_via_context ... ok
test agent::subagent::tests::subagent_inherits_session_cli_overrides ... ok
test agent::subagent::tests::subagent_keeps_default_flavor_when_parent_model_is_non_strict ... ok
test agent::subagent::tests::subagent_max_turns_definition_wins_else_inherits_parent ... ok
test agent::subagent::tests::summarize_tool_config_uses_name_override_and_strips_namespace ... ok
test agent::subagent::tests::summarized_fork_is_not_a_verbatim_mirror ... ok
test agent::subagent::tests::unknown_persona_produces_no_instructions ... ok
test agent::subagent::tests::validate_subagent_type_allow_list_is_case_insensitive ... ok
test agent::subagent::tests::validate_subagent_type_recognizes_cli_agent_by_name ... ok
test agent::subagent::tests::validate_subagent_type_returns_disabled_when_toggled_off ... ok
test agent::subagent::tests::validate_subagent_type_returns_not_allowed_when_outside_allow_list ... ok
test agent::subagent::tests::validate_subagent_type_returns_ok_for_known_enabled_agent ... ok
test agent::subagent::tests::running_gauge_tracks_pending_and_active ... ok
test agent::subagent::tests::validate_subagent_type_returns_unknown_for_invented_type ... ok
test agent::subagent::tests::validate_subagent_type_unknown_dedupes_cli_against_builtins ... ok
test agent::subagent::tests::validate_subagent_type_unknown_includes_cli_agents_in_available ... ok
test agent::subagent::tests::validate_subagent_type_unknown_omits_disabled_types_from_available_list ... ok
test agent::subagent::tests::verbatim_fork_empty_after_filter_fails_open_to_new ... ok
test agent::subagent::tests::verbatim_fork_falls_back_to_summary_on_incomplete_tail ... ok
test agent::subagent::tests::verbatim_fork_falls_back_to_summary_when_oversize ... ok
test agent::subagent::tests::verbatim_fork_keeps_items_byte_for_byte_when_small ... ok
test agent::subagent::tests::validate_subagent_type_unknown_omits_disabled_cli_agents_from_available_list ... ok
test agent::subagent::tests::verbatim_or_normalize_fork_system_only_fails_open_to_new ... ok
test agent::subscription_check::tests::empty_tier_is_not_qualifying ... ok
test agent::subscription_check::tests::free_tier_is_not_qualifying ... ok
test agent::subscription_check::tests::partial_tier_name_is_not_qualifying ... ok
test agent::subscription_check::tests::qualifying_tiers_includes_all_paid_tiers ... ok
test agent::update_chunk_merge::tests::appends_to_existing_chunk_id_range ... ok
test agent::update_chunk_merge::tests::appends_non_consecutive_after_trailing_singleton ... ok
test agent::update_chunk_merge::tests::buffers_first_chunk_and_updates_count_and_bytes ... ok
test agent::update_chunk_merge::tests::extends_trailing_singleton_when_next_is_consecutive ... ok
test agent::update_chunk_merge::tests::flush_clears_pending_and_resets_counters ... ok
test agent::update_chunk_merge::tests::flush_merges_streaming_chunks ... ok
test agent::update_chunk_merge::tests::hits_max_items_threshold_and_flushes_instead_of_buffering ... ok
test agent::update_chunk_merge::tests::keeps_gapped_chunk_ids_as_separate_segments ... ok
test agent::update_chunk_merge::tests::keeps_out_of_order_chunk_ids_in_arrival_order ... ok
test agent::update_chunk_merge::tests::merges_chunk_ids_into_range ... ok
test agent::update_chunk_merge::tests::merges_second_chunk_and_increments_count_and_updates_bytes ... ok
test agent::update_chunk_merge::tests::squashes_consecutive_chunk_ids_into_single_range ... ok
test agent::update_chunk_merge::tests::timestamp_mismatch_flushes_pending_and_does_not_buffer ... ok
test agent::update_chunk_merge::tests::xai_after_acp_forces_flush ... ok
test agent::update_chunk_merge::tests::xai_different_tool_call_id_forces_flush ... ok
test agent::update_chunk_merge::tests::xai_same_id_deltas_merge_args_and_preserve_name ... ok
test agent::update_chunk_merge::tests::xai_tool_call_delta_is_bufferable ... ok
test auth::attribution::tests::format_consumer_matrix ... ok
test auth::attribution::tests::format_consumer_with_op_appends_dot ... ok
test auth::attribution::tests::absent_current_is_not_stale ... ok
test auth::attribution::tests::legacy_token_uses_two_branch_fallback ... ok
test auth::attribution::tests::live_token_sent_is_not_stale ... ok
test auth::attribution::tests::parent_callback_flows_through_arc_clone ... ok
test auth::attribution::tests::record_auth_401_bumps_emit_counter ... ok
test auth::attribution::tests::record_auth_401_emits_otel_span_with_attribution_fields ... ok
test auth::attribution::tests::shell_attribution_tool_impl_routes_to_correct_consumer_strings ... ok
test auth::attribution::tests::shell_attribution_trait_impl_routes_through_helper ... ok
test auth::config::tests::allowed_accounts_app_origins_are_frozen ... ok
test auth::attribution::tests::stale_snapshot_is_detected ... ok
test auth::config::tests::default_oauth2_scopes_are_frozen ... ok
test auth::config::tests::env_flag_enabled_treats_falsy_spellings_as_off ... ok
test auth::config::tests::personal_auth_scope_is_base_scope ... ok
test auth::config::tests::team_auth_scope_is_base_scope ... ok
test auth::config::tests::preferred_method_deserializes_from_toml ... ok
test auth::credential_provider::tests::apply_and_snapshot_agree_on_live_token ... ok
test auth::credential_provider::tests::deployment_key_wins_over_resolved_user_token ... ok
test auth::credential_provider::tests::falls_back_to_expired_auth_during_buffer_window ... ok
test auth::credential_provider::tests::has_usable_credential_reflects_auth_state ... ok
test auth::credential_provider::tests::has_usable_credential_true_inside_early_invalidation_buffer ... ok
test auth::credential_provider::tests::no_token_when_auth_manager_is_empty ... ok
test auth::credential_provider::tests::otel_bootstrap_snapshot_picks_up_disk_writes ... ok
test auth::credential_provider::tests::otel_deployment_key_sent_when_no_oidc_token ... ok
test auth::credential_provider::tests::otel_deployment_key_wins_over_oidc_token ... ok
test auth::credential_provider::tests::otel_live_mode_uses_shared_auth_manager ... ok
test auth::credential_provider::tests::otel_live_refresh_after_unauthorized_drives_recovery ... ok
test auth::credential_provider::tests::refresh_after_unauthorized_drives_recovery_state_machine ... ok
test auth::credential_provider::tests::refresh_after_unauthorized_is_noop_for_deployment_key ... ok
test auth::credential_provider::tests::snapshot_populates_tenant_id_per_auth_mode ... ok
test auth::device_code::tests::build_auth_does_not_enforce_legacy_oauth2_principal_id ... ok
test auth::device_code::tests::build_auth_persists_credentials_without_proxy_fetch ... ok
test auth::device_code::tests::build_auth_rejects_token_outside_force_login_team_list ... ok
test auth::device_code::tests::build_auth_seeds_team_metadata_from_access_token ... ok
test agent::storage_client_tests::test_upload_respects_retry_after_header ... ok
test agent::mvp_agent::tests::interactive_trust_prompt_reprompts_after_untrust ... ok
test agent::subagent::tests::subagent_await_budget_default_and_override ... ok
test agent::subagent::tests::handle_subagent_request_valid_cwd_passes_validation ... ok
test auth::device_code::tests::validate_verification_uri_rejects_unsupported_scheme ... ok
test auth::external_auth::tests::parse_output_empty_stdout_is_err ... ok
test auth::external_auth::tests::parse_output_malformed_json_falls_back_to_bare ... ok
test auth::external_auth::tests::parse_output_nonzero_exit_is_err ... ok
test agent::subagent::tests::handle_subagent_request_quoted_cwd_passes_validation ... ok
test agent::subagent::tests::handle_subagent_request_allows_when_absent_from_toggle ... ok
test auth::external_auth::tests::refresh_carries_zdr_flags_forward ... ok
test auth::external_auth::tests::sync_sets_grok_auth_expired_env_on_refresh ... ok
test auth::flow::tests::cached_cred_with_matching_team_is_compatible ... ok
test auth::flow::tests::cached_cred_with_wrong_team_is_incompatible ... ok
test auth::flow::tests::device_flow_config_beats_remote ... ok
test auth::flow::tests::device_flow_env_beats_remote ... ok
test auth::flow::tests::device_flow_precedence_cli_beats_env_config_remote ... ok
test auth::flow::tests::device_flow_precedence_config_then_default ... ok
test auth::flow::tests::device_flow_precedence_env_beats_config ... ok
test auth::flow::tests::device_flow_records_deciding_tier ... ok
test auth::flow::tests::device_flow_remote_then_default ... ok
test auth::flow::tests::device_flow_still_runs_external_provider ... ok
test auth::flow::tests::enterprise_oidc_never_uses_device_flow ... ok
test auth::flow::tests::expired_refreshable_session_gate ... ok
test auth::flow::tests::external_provider_accepts_matching_team ... ok
